8.32, 2.31, 22018.42, 1.78, 356.89, 363.27, 18.44, 100.3, 44.63		0
9.09, 1.69, 17978.99, 2.16, 310.14, 398.41, 11.56, 32.00, 4.08		0
5.58, 2.26, 28748.69, 2.05, 326.68, 280.47, 8.405, 4.92, 2.56		0
10.2, 1.82, 28749.72, 2.19, 393.66, 283.65, 13.79, 84.60, 2.67		0
8.64, 2.47, 13672.09, 1.96, 303.31, 474.61, 12.36, 62.80, 4.40		0

8.99, 215.05, 15921.41, 6.30, 312.93, 390.41, 9.90, 55.07, 4.61			1
6.70, 207.32, 17246.92, 7.71, 304.51, 329.27, 16.22, 28.88, 3.44		1
11.49, 94.81, 37188.83, 9.26, 258.93, 439.89, 16.17, 41.56, 4.37		1
6.07, 186.66, 26138.78, 7.75, 345.70, 415.89, 12.07, 60.42, 3.67		1
4.67, 193.68, 47580.99, 7.17, 359.95, 526.42, 13.89, 66.69, 4.44		1
